 


  
  

NCAA Men's Soccer
Division IPoints Per Game
Through Games 12/15/2025

Goals x 2 + assists must equal points
       
"Rank","Name","Team","Cl","Ht","Pos","Games","Goals","Assists","Points","Per Game"
"1","Clarence Awoudor","UCF","Sr.","5-7","FM","21","15"
"","Diego Rosas","Portland","Jr.","-","F","20","15"
"3","Richie Aman","Washington","Sr.","5-9","M","24","14"
"","Zach Zengue","Georgetown","Sr.","5-9","M","22","14"
"5","Stefan Dobrijevic","Akron","Sr.","6-2","F","21","12"
"6","Philip Naef","UCLA","Jr.","5-11","M","19","11"
"7","Palmer Ault","Indiana","Sr.","5-10","F","19","10"
"","Stefano Campisi","Hofstra","Sr.","5-8","M","20","10"
"","Marco Dos Santos","Virginia","Jr.","5-9","F","19","10"
"","Arnau Farnos","Oregon St.","Sr.","5-9","M","17","10"
"","Vitalis Takawira Jr","USC Upstate","Sr.","5-8","F","18","10"
"12","Nacho Abeal","North Carolina","Sr.","5-8","M","20","9"
"","Wilfer Bustamante","Furman","So.","5-8","F","23","9"
"","Daniel D'Ippolito","Fordham","Sr.","5-11","M","17","9"
"","Cameron Gerber","Fairfield","Jr.","5-11","M","18","9"
"","Diego Hernandez","Furman","Jr.","5-9","M","23","9"
"","Freddy Jeffreys","Delaware","Fr.","5-7","M","16","9"
"","Matteo Landais","Lindenwood","Sr.","6-0","M","18","9"
"","Riley Moloney","NC State","Fr.","-","D","23","9"
"","Jack Stainrod","LIU","Sr.","6-2","F","17","9"
"","Marius Stenner","Delaware","So.","6-0","F","17","9"
"","Giacomo Zizza","Lehigh","So.","-","M","20","9"
"23","Patrick Cayelli","Penn","Sr.","5-10","M","17","8"
"","Andrew De Gannes","Oregon St.","Sr.","5-9","D","17","8"
"","Enzo Dovlo","UNC Greensboro","Jr.","6-0","F","23","8"
"","Jakob Friedman","Monmouth","Sr.","5-8","F","16","8"
"","Ransford Gyan","Clemson","So.","5-6","F","17","8"
"","Alex Hall","Washington","So.","5-11","M","24","8"
"","Taig Healy","NC State","Sr.","5-7","M","22","8"
"","Martin Kozak","Elon","Jr.","5-11","M","19","8"
"","Brendan Krueger","High Point","Sr.","5-11","M","20","8"
"","Albi Ndrenika","Maryland","Sr.","5-10","M","18","8"
"","Remi Okunlola","Clemson","Jr.","5-11","F","16","8"
"","Keegan Oyler","Utah Valley","Sr.","6-1","MD","15","8"
"","Zach Ramsey","Washington","So.","5-10","M","24","8"
"","Gilberto Rivera","San Jose St.","Jr.","5-10","M","19","8"
"","Calem Tommy","NC State","Sr.","5-9","D","22","8"
"","Aboubacar Traore","Fla. Atlantic","Jr.","5-9","M","17","8"
"39","Jaime Amaro","Bryant","Fr.","5-7","-","22","7"
"","Perry Blay","Liberty","Jr.","5-6","D","20","7"
"","Celestin Blondel","High Point","Sr.","5-5","F","20","7"
"","Marcus Caldeira","West Virginia","Sr.","6-2","F","21","7"
"","Jesus De Vicente","Virginia","Sr.","5-11","D","19","7"
"","Mamadou Diarra","Fla. Atlantic","Sr.","5-10","F","18","7"
"","Cooper Flax","Wake Forest","Sr.","6-0","M","17","7"
"","Alex Fleury","Stony Brook","Jr.","6-0","M","19","7"
"","David Garcia Gallego","Sacred Heart","Sr.","5-9","M","18","7"
"","Laurie Goddard","Hofstra","Sr.","6-2","M","20","7"
"","Henry Hamilton","Manhattan","Sr.","5-8","F","16","7"
"","Seth Hammond","St. Bonaventure","Sr.","5-7","M","15","7"
"","Angel Iniguez","San Jose St.","Sr.","5-6","M","20","7"
"","Loed Klaasen","Coastal Carolina","Sr.","6-1","M","14","7"
"","Charlie Kosakoff","Washington","Jr.","5-11","F","23","7"
"","Ayoub Lajhar","UConn","Jr.","6-0","D","20","7"
"","Luca Nikolai","North Carolina","Jr.","6-1","D","20","7"
"","Takuto Nishide","FDU","Sr.","-","-","20","7"
"","Stephane Njike","Maryland","So.","5-10","F","18","7"
"","Pharis Petrica","Boston U.","So.","5-9","M","17","7"
"","Joseph Umberto Picotto","Maryland","Sr.","6-2","M","14","7"
"","Martin Piedeleu","Siena","Fr.","5-8","M","19","7"
"","Isaac Scheer","West Virginia","So.","5-10","M","21","7"
"","Calle Sjoberg","Iona","Jr.","6-0","M","18","7"
"","Nolan Spicer","Notre Dame","Jr.","5-8","M","20","7"
"","Jose de la Torre","Cal St. Fullerton","So.","5-7","M","20","7"
"65","Shane Anderson","Purdue Fort Wayne","Sr.","5-9","M","17","6"
"","Brando Bedolla","Longwood","So.","5-9","F","15","6"
"","Ethan Blake","Lindenwood","Sr.","5-9","F","21","6"
"","Fabio Bozesan","South Fla.","Sr.","-","F","17","6"
"","Charles-Emile Brunet","SMU","So.","5-8","M","20","6"
"","Tyler Caton","NC State","Jr.","5-11","M","20","6"
"","Matt Cence","Massachusetts","Sr.","-","M","17","6"
"","Ryan Clanton-Pimentel","SMU","So.","5-6","M","19","6"
"","Ethan Dekel Daks","West Virginia","Sr.","5-9","M","21","6"
"","Junior Diouf","Grand Canyon","Fr.","6-1","F","21","6"
"","Michael Eberle","Old Dominion","Sr.","6-2","F","18","6"
"","Daniel Escorcia","SMU","Sr.","-","M","18","6"
"","Ben Assane Fall","Grand Canyon","Sr.","6-2","F","20","6"
"","Lucho Galizzi","Memphis","Sr.","6-0","F","15","6"
"","Jose Gomez","NIU","Sr.","5-10","M","17","6"
"","Yoshiki Igarashi","Omaha","Sr.","5-11","M","15","6"
"","Julian Jakopovic","St. John's (NY)","Sr.","6-1","M","17","6"
"","Jack Jasinski","Princeton","Sr.","6-1","M","19","6"
"","Alex Kryazhev","Old Dominion","Sr.","6-1","F","12","6"
"","Daniel Longo","UNC Greensboro","Sr.","6-0","M","23","6"
"","Jesus Macaya","Longwood","Jr.","6-0","M","16","6"
"","Kaiss Mansouri","North Florida","So.","5-8","F","18","6"
"","Ander Marticorena","UCLA","Fr.","-","M","17","6"
"","Aidan Martin","Cornell","So.","5-9","D","20","6"
"","Alejandro Martinez Santamaria","Northwestern","Sr.","5-10","F","17","6"
"","Sven Meacham","Yale","So.","5-11","D","15","6"
"","Connor Miller","Cornell","Jr.","5-8","M","20","6"
"","Jaylinn Mitchell","SMU","Jr.","5-8","M","20","6"
"","Oliver Moller-Jensen","Fla. Atlantic","Jr.","5-9","F","18","6"
"","Chris Morandi","Iona","Sr.","5-10","M","18","6"
"","Roko Branko Mrvelj","UAlbany","Fr.","-","M","17","6"
"","Claudel N'goubou","UCF","Sr.","6-5","F","19","6"
"","Sota Nakazono","UIC","Jr.","5-10","D","16","6"
"","Nico Nee","Oregon St.","Sr.","5-10","F","17","6"
"","Carlos Nevarez","UIC","So.","5-9","M","16","6"
"","Pearse O'Brien","Providence","Jr.","5-9","M","14","6"
"","Collins Oduro","Indiana","Jr.","5-7","F","19","6"
"","Joshua Partal","Stanford","Fr.","6-2","M","20","6"
"","Alex Parvu","Virginia","So.","6-2","D","19","6"
"","Umberto Pelà","Virginia","Sr.","5-11","M","17","6"
"","Marc Pitarch Bayot","Bryant","Sr.","6-3","F","18","6"
"","Mateo Ponce Ocampo","Georgetown","Jr.","5-9","M","22","6"
"","Kalle Rahbeck","Wofford","So.","5-10","M","19","6"
"","Thomas Raimbault","Wisconsin","Sr.","5-11","F","16","6"
"","Joby Reid","Houston Christian","Fr.","6-0","F","19","6"
"","Rocket Ritarita","Maryland","Fr.","5-9","F","18","6"
"","Nathan Rodrigues","LMU (CA)","Jr.","5-11","D","17","6"
"","Jack Roman","Akron","So.","5-7","M","21","6"
"","Balthazar Saunders","UConn","Sr.","6-0","M","21","6"
"","Nathan Simes","Wofford","Jr.","6-1","F","18","6"
"","Sergi Solans Ormo","UCLA","So.","6-2","F","19","6"
"","Fabian Straudi","Oregon St.","Sr.","5-9","M","8","6"
"","Malick Thiaw","UCF","Sr.","6-0","F","20","6"
"","Gabin Thomelier","St. John's (NY)","Jr.","-","F","17","6"
"","Matthew Van Horn","Georgetown","Jr.","6-0","M","17","6"
"","Beau Yantz","High Point","Sr.","5-11","D","19","6"
"","Jaylen Yearwood","North Florida","Sr.","6-0","M","19","6"
"","Baylen Young","Davidson","Sr.","5-11","M","19","6"
"123","Jared Aguilar","Tulsa","Jr.","5-9","M","18","5"
"","Lucas Almeida","Siena","Jr.","6-1","F","18","5"
"","Lorenzo Amaral","Brown","Jr.","-","F","15","5"
"","Kofi Amoah","UMBC","Sr.","5-5","F","17","5"
"","Alessandro Arlotti","Duke","Sr.","6-0","F","20","5"
"","Andrew Armstrong","Dayton","So.","6-0","F","18","5"
"","Alfred Baafi","High Point","Jr.","5-8","F","19","5"
"","Travis Babineau","UC Irvine","Sr.","5-8","D","21","5"
"","Luca Baltzer","Pacific","Sr.","6-1","M","17","5"
"","Fletcher Bank","Stanford","Sr.","5-10","M","20","5"
"","Jemone Barclay","Charlotte","Sr.","6-1","D","14","5"
"","Luca Bartoni","Lindenwood","Sr.","6-1","F","21","5"
"","Liam Beckwith","Princeton","Jr.","6-0","M","19","5"
"","João Belmudes","South Fla.","Sr.","5-9","M","15","5"
"","Joackim Betina","Kansas City","Sr.","5-10","D","21","5"
"","Gabriel Bracken Serra","North Carolina","Sr.","5-9","F","18","5"
"","Russell Brown","Boston College","Jr.","6-2","F","16","5"
"","Daniel Burko","Hofstra","Sr.","6-3","F","20","5"
"","Iker Carbonell","Oregon St.","So.","-","D","15","5"
"","Nicholas Cassiday","Michigan","Sr.","5-8","M","20","5"
"","Jack Civitts","Cal Poly","Jr.","6-0","F","20","5"
"","Paul Claes Nielsen","Belmont","Fr.","6-2","M","17","5"
"","Fran Cortijo","Oregon St.","Sr.","5-11","D","17","5"
"","Kevin Cull","Holy Cross","Jr.","6-0","M","17","5"
"","Joe Dale","Washington","Jr.","5-9","M","24","5"
"","Simon Diagana","Santa Clara","So.","5-9","F","17","5"
"","Giorgos Diakos","Cornell","Sr.","-","F","17","5"
"","Tiago Dias","Bryant","Sr.","6-3","-","21","5"
"","Joao Domingues","FIU","Sr.","5-7","M","19","5"
"","Berkay Duman","ETSU","Fr.","-","M","14","5"
"","Taj Eagleston","San Diego","So.","5-10","M","19","5"
"","Aloni Elfu","Presbyterian","Fr.","5-8","M","18","5"
"","Matthew Fisher","Michigan","Jr.","5-9","D","19","5"
"","Sebastian Garces","American","Sr.","5-9","M","18","5"
"","Sergio Gonzalez Fernandez","George Mason","Sr.","5-9","M","13","5"
"","Caden Grabfelder","Penn St.","Jr.","6-0","M","16","5"
"","Leandro Haesler","Lindenwood","Sr.","6-3","D","20","5"
"","Sabri Hanni","UConn","Jr.","5-7","M","20","5"
"","Nick Harshaw","Bellarmine","So.","5-9","M","17","5"
"","Issah Haruna","UNC Greensboro","So.","5-6","M","21","5"
"","Steven Hernandez","UNC Greensboro","Jr.","5-9","F","22","5"
"","Joe Highfield","Portland","So.","6-4","F","20","5"
"","Luke Hutzell","Furman","So.","5-10","M","22","5"
"","Adriano Iannello","Marist","Fr.","5-8","F","16","5"
"","Elijah John","Liberty","Jr.","5-8","D","19","5"
"","Ashton Kamdem","Akron","Sr.","5-10","D","21","5"
"","Ben Kelly","Harvard","Jr.","6-2","F","16","5"
"","Drew Kerr","Duke","Sr.","6-0","M","20","5"
"","Sebastian Khoury","UIC","So.","5-7","M","12","5"
"","DJ Koulai","Bradley","Jr.","5-10","F","17","5"
"","Jaxson Lee","Robert Morris","So.","6-5","D","17","5"
"","Nicolas Loebus","Vermont","Fr.","6-2","M","20","5"
"","Tate Lorentz","Wake Forest","Jr.","5-11","FM","17","5"
"","Daniel Lugo","High Point","So.","6-2","F","20","5"
"","Robbie Lyons","Gardner-Webb","Sr.","-","M","17","5"
"","Tizian Marth","California Baptist","So.","5-8","M","17","5"
"","Jose Luis Martin Montealegre","Utah Valley","Jr.","6-2","F","13","5"
"","Eric Martinez","UC Riverside","Fr.","5-8","F","14","5"
"","Aidan Martinez","Wisconsin","Fr.","6-1","M","15","5"
"","Sadam Masereka","Maryland","Sr.","5-9","F","19","5"
"","Eben McIntyre","Memphis","Jr.","6-3","F","15","5"
"","Justin Mclean","NC State","Sr.","6-0","M","22","5"
"","Rodrigo Mendes","UNC Asheville","Sr.","5-6","F","16","5"
"","Andrew Millar","Vermont","Jr.","6-2","M","20","5"
"","Tyler Morck","Akron","So.","5-8","M","19","5"
"","Tony Murphy","Southern Ind.","Fr.","5-8","M","15","5"
"","Chris Niblock","High Point","So.","5-7","M","20","5"
"","Shakir Nixon","UCLA","So.","5-11","D","19","5"
"","Edouard Nys","UIC","Jr.","5-8","M","18","5"
"","Thengill Orrason","Hofstra","So.","6-2","D","19","5"
"","Bryce Outman","Kansas City","Fr.","5-7","F","21","5"
"","Marcell Papp","Vermont","Sr.","5-8","F","20","5"
"","Aidan Payne","NC State","Jr.","6-1","F","23","5"
"","Luciano Pechota","Ohio St.","Sr.","5-6","M","16","5"
"","Drew Pedersen","Gonzaga","Jr.","6-1","F","16","5"
"","Alex Perez","Virginia Tech","So.","5-10","M","16","5"
"","Jaden Prado","Northeastern","Jr.","5-10","D","15","5"
"","Uzman Ramees","Cleveland St.","Fr.","5-10","M","19","5"
"","Michael Ramirez","Michigan","Fr.","5-10","F","19","5"
"","Nathan Richmond","Clemson","Sr.","5-7","M","17","5"
"","Fermin Rodriguez","Bryant","Sr.","5-9","-","22","5"
"","Taylor Rogers","Utah Tech","So.","5-10","F","17","5"
"","Mark Romano","North Florida","So.","6-0","M","12","5"
"","Carl Romberg","Marshall","Jr.","5-9","F","21","5"
"","Jonathan Salguero","Marist","Sr.","5-8","M","16","5"
"","Daniel Santos Rosa","Campbell","Sr.","5-8","D","20","5"
"","Andreas Savva","Harvard","Jr.","5-10","F","17","5"
"","Yasha Schaerer","Marshall","Jr.","5-8","M","16","5"
"","Luke Schultz","Denver","So.","5-10","M","22","5"
"","Aidan Semelsberger","Denver","Sr.","5-5","M","22","5"
"","Martim Sereno","George Mason","So.","5-9","F","16","5"
"","Jeremy Sharp","St. John's (NY)","Sr.","5-11","D","18","5"
"","Lucas Shearer","Central Ark.","Sr.","6-1","M","16","5"
"","Vance Sheffield","NIU","Fr.","6-0","F","17","5"
"","Nicholas Simmonds","Virginia","Fr.","6-4","F","19","5"
"","Chris Steinleitner","Maryland","Sr.","6-2","M","18","5"
"","Connor Stout","Furman","Fr.","5-7","D","23","5"
"","Joe Suchecki","Northwestern","Sr.","6-4","M","17","5"
"","Nicolas Tomerius","UConn","Sr.","5-9","M","21","5"
"","Arion Ulaj","Marist","Jr.","6-2","M","16","5"
"","Michael Vick","Cal Poly","Fr.","5-11","D","20","5"
"","Keegan Walker","Green Bay","Jr.","5-9","M","16","5"
"","Bryce Willoughby","Denver","Jr.","6-2","F","22","5"
"","Morgan Worsfold-Gregg","Drexel","So.","5-10","M","14","5"
"","Sergio Zapata","Cornell","Fr.","5-9","F","20","5"
"","Yeider Zuluaga","Seattle U","Sr.","5-11","M","13","5"
"","Dominic Zuniga","Milwaukee","Jr.","5-11","M","16","5"
"","Michael teDuits","Villanova","Sr.","5-9","M","18","5"
Reclassifying
"NR","Alvar Silva","Mercyhurst","Jr.","6-0","F","16","6"

NCAA Men's Soccer
Division IGoals Against Average
Through Games 12/15/2025


"Rank","Name","Team","Cl","Ht","Pos","Games","Goalie Min. Plyd","GA","GAA"
"1","Andrew Samuels","Princeton","Jr.","6-4","GK","19","1704:27","7","0.370"
"2","Owen Beninga","UC Santa Barbara","Fr.","6-3","GK","12","1044:42","6","0.517"
"3","Jackson Leavitt","Elon","Sr.","6-0","GK","19","1730:00","11","0.572"
"4","Lucca Adams","San Diego","So.","6-1","GK","14","1244:04","8","0.579"
"5","Phillip Falcon III","Penn","Jr.","6-3","GK","12","1080:00","7","0.583"
"6","Logan Erb","NC State","Sr.","6-3","GK","23","2004:08","13","0.584"
"7","Miguel-Angel Hernandez","Portland","Jr.","6-0","GK","19","1730:00","12","0.624"
"8","Gavin Krenecki","Dayton","Sr.","5-11","GK","17","1550:00","11","0.639"
"9","JoJo Elliott","Delaware","Fr.","6-3","GK","16","1440:00","11","0.688"
"10","Gavin Roberts","Lindenwood","Sr.","6-2","GK","13","1156:23","9","0.700"
"11","Ryan Friedberg","Cornell","Sr.","6-5","GK","20","1790:51","14","0.704"
"12","Daniel Ibarra","Grand Canyon","Sr.","6-1","GK","20","1775:00","14","0.710"
"13","Enzo Carvalho","Bryant","Sr.","6-5","GK","18","1640:00","13","0.713"
"14","Mitch Budler","Akron","Sr.","6-4","GK","21","1890:00","15","0.714"
"15","Kolby Sessions","Utah Valley","So.","6-2","GK","11","990:00","8","0.727"
"16","Alex Aitken","Houston Christian","Sr.","6-0","GK","19","1720:21","14","0.732"
"17","Leo Stritter","Charlotte","Sr.","6-2","GK","16","1453:31","12","0.743"
"18","Niklas Herceg","Vermont","So.","6-6","GK","20","1814:01","15","0.744"
"19","Nicky McCune","Cal Poly","Sr.","6-2","GK","20","1788:19","15","0.755"
"20","Josh Caron","High Point","Sr.","6-0","GK","20","1781:58","15","0.758"
"21","Tomas Butkovic","Drake","So.","6-0","GK","17","1531:51","13","0.764"
"22","Dorian Drucks","CSUN","Jr.","6-3","GK","17","1530:00","13","0.765"
"23","Grant Calvert","Belmont","Sr.","6-2","GK","17","1516:16","13","0.772"
"24","Jeremi Abonnel","Saint Louis","Sr.","6-0","GK","24","2213:50","19","0.772"
"25","Kevin Box","UCLA","Sr.","-","GK","10","920:00","8","0.783"
"26","Matias Molina","Seton Hall","Sr.","5-10","GK","19","1716:43","15","0.786"
"27","Gino Cervoni","Hofstra","Sr.","6-5","GK","17","1305:00","12","0.828"
"28","Andrew Cordes","North Carolina","Sr.","6-2","GK","20","1840:00","17","0.832"
"29","Alan Horrocks","Gardner-Webb","Sr.","-","GK","18","1620:00","15","0.833"
"30","Michael Guiry","Army West Point","So.","6-5","GK","15","1273:08","12","0.848"
"31","Rowan Schnebly","Stanford","Jr.","6-1","GK","20","1787:13","17","0.856"
"32","Eryk Dymora","Duke","Sr.","6-3","GK","19","1665:00","16","0.865"
"33","Ivan Horvat","Furman","So.","6-3","GK","21","1862:35","18","0.870"
"34","Will Lowry","Missouri St.","Sr.","6-0","GK","11","924:19","9","0.876"
"35","Tenzing Manske","Georgetown","Sr.","6-1","GK","21","1845:55","18","0.878"
"36","Joe O'Shaughnessy","UC Irvine","So.","6-7","GK","21","1845:00","18","0.878"
"37","Nate Martinez","Ga. Southern","Sr.","6-3","GK","18","1633:06","16","0.882"
"38","Matheus Franca","FDU","Jr.","6-2","GK","16","1407:01","14","0.896"
"39","Christian Sekanina","Jacksonville","Sr.","6-1","GK","14","1280:00","13","0.914"
"40","Martin Dominguez","SMU","Sr.","5-11","GK","14","1260:00","13","0.929"
"41","Sebastian Conlon","Kentucky","Sr.","6-2","GK","19","1743:50","18","0.929"
"42","Laurin Mack","Maryland","So.","6-1","GK","19","1730:00","18","0.936"
"43","Ryan Poling","Cleveland St.","Sr.","6-0","GK","18","1633:44","17","0.937"
"44","Sep Habibi","Purdue Fort Wayne","So.","6-2","GK","17","1518:44","16","0.948"
"45","Isaiah Goldson","Michigan","Jr.","6-0","GK","20","1800:00","19","0.950"
"","Michal Mroz","Evansville","So.","6-2","GK","20","1800:00","19","0.950"
"47","Luca Marinelli","Sacred Heart","Sr.","6-1","GK","16","1418:55","15","0.951"
"48","Tristan Stephani","Fordham","Sr.","6-4","GK","13","1190:00","13","0.983"
"49","Emigdio Lopez","UMBC","Sr.","5-11","GK","17","1550:00","17","0.987"
"","Casper Mols","Virginia","Sr.","6-4","GK","17","1550:00","17","0.987"
"51","Fernando Alves Schmelz","Iona","So.","6-3","GK","15","1268:55","14","0.993"
"52","Marc Popow","Kansas City","Fr.","6-1","GK","20","1800:00","20","1.000"
"","Eric Widrick","Colgate","Sr.","6-1","GK","17","1530:00","17","1.000"
"","Matthew Hudson","Creighton","So.","6-1","GK","16","1440:00","16","1.000"
"","Andrew Marotta","LIU","So.","6-0","GK","10","900:00","10","1.000"
"56","Rafael Ponce De Leon","Northwestern","Sr.","6-3","GK","16","1439:47","16","1.000"
"57","Edgar Guerra","San Jose St.","Sr.","6-3","GK","18","1584:07","18","1.023"
"58","Luciano Natoli","North Florida","Jr.","6-0","GK","18","1661:16","19","1.029"
"59","Eric Axtman","Lafayette","Sr.","6-1","GK","21","1911:54","22","1.036"
"60","Seth Wilson","UNC Greensboro","Jr.","6-5","GK","23","2126:16","25","1.058"
"61","Alex Svetanoff","Louisville","Jr.","6-2","GK","17","1530:00","18","1.059"
"62","Drew Swancutt","Green Bay","Jr.","5-11","GK","11","1010:00","12","1.069"
"63","Jackson Ozburn","Santa Clara","Sr.","6-3","GK","17","1416:08","17","1.080"
"64","Andrej Krivokapic","UAlbany","Jr.","-","GK","12","1082:00","13","1.081"
"65","Peter Van Euwen","Bellarmine","Sr.","5-11","GK","17","1485:17","18","1.091"
"66","Alfred Mikkelsen","Fla. Atlantic","Fr.","6-0","GK","14","1229:09","15","1.098"
"67","Jadon Bowton","Washington","Sr.","6-4","GK","19","1717:15","21","1.101"
"68","Alejandro DeLaTorre","UIW","Sr.","-","GK","18","1620:00","20","1.111"
"69","Marten Brink","Marquette","So.","6-7","GK","8","720:00","9","1.125"
"70","Diego Chavez","Duquesne","Sr.","6-2","GK","15","1349:19","17","1.134"
"71","Eddie DeMarco","Marshall","Jr.","6-2","GK","13","1181:15","15","1.143"
"72","Kyle Durham","UConn","So.","6-3","GK","21","1890:00","24","1.143"
"","Lucas Jones","San Francisco","Jr.","5-11","GK","14","1260:00","16","1.143"
"74","Tomas Hut","Syracuse","Sr.","6-3","GK","20","1800:00","23","1.150"
"75","Alex Lindewirth","Western Mich.","Jr.","6-3","GK","19","1485:00","19","1.152"
"76","Joao Mesquita","Oral Roberts","Sr.","5-10","GK","10","855:00","11","1.158"
"77","Cooper Jennings","Saint Joseph's","Jr.","6-1","GK","17","1550:00","20","1.161"
"78","Atahan Arslan","NIU","Jr.","6-2","GK","15","1316:15","17","1.162"
"79","Alec McLachlan","St. John's (NY)","Sr.","6-1","GK","17","1463:20","19","1.169"
"80","Matheus Rhormens","Queens (NC)","So.","6-3","GK","17","1530:00","20","1.176"
"81","Josh Lane","Robert Morris","Jr.","6-2","GK","17","1522:07","20","1.183"
"82","Matthew Tibbetts","American","Sr.","6-2","GK","16","1441:54","19","1.186"
"83","Sam Joseph","Virginia Tech","Sr.","6-4","GK","16","1440:00","19","1.188"
"84","Freddie Lapworth","Bucknell","Sr.","6-1","GK","16","1359:54","18","1.191"
"85","Marc Bonnaire","West Virginia","Sr.","6-3","GK","21","1888:22","25","1.192"
"86","Tyler Beck","Liberty","So.","6-4","GK","20","1800:00","24","1.200"
"87","Raphael Bartell","Drexel","Sr.","6-1","GK","10","885:41","12","1.219"
"88","Mateo Buyu","Holy Cross","So.","6-2","GK","11","958:47","13","1.220"
"89","Enzo Gil","Bowling Green","Jr.","6-1","GK","9","810:00","11","1.222"
"","Dean Kelliher","Columbia","Sr.","6-2","GK","9","810:00","11","1.222"
"","Lucas Ortiz","Eastern Ill.","Jr.","6-0","GK","9","810:00","11","1.222"
"92","Scott Williams","New Hampshire","Sr.","6-4","GK","13","1099:39","15","1.228"
"93","Heidar Hermannsson","Stony Brook","Fr.","6-3","GK","14","1244:11","17","1.230"
"94","Evan Chomow","Fairfield","Fr.","6-5","GK","15","1317:15","18","1.230"
"95","Isaac Nehme","Denver","Sr.","6-0","GK","21","1900:24","26","1.231"
"96","Devin Armstrong","NJIT","Sr.","6-2","GK","17","1530:00","21","1.235"
"97","Hugo Do Rego","California Baptist","Jr.","6-0","GK","16","1442:30","20","1.248"
"98","Erik Jaspers","James Madison","So.","-","GK","12","1080:00","15","1.250"
